GENE_001	0
GENE_002	1
GENE_003	0
GENE_004	2
GENE_005	3
GENE_006	0
GENE_007	0
GENE_008	0
GENE_009	8
GENE_010	10
GENE_011	3
GENE_012	1
GENE_013	6
GENE_014	3
GENE_015	4
GENE_016	9
GENE_017	9
GENE_018	4
GENE_019	10
GENE_020	4
GENE_021	18
GENE_022	23
GENE_023	2
GENE_024	25
GENE_025	16
GENE_026	8
GENE_027	11
GENE_028	15
GENE_029	8
GENE_030	14
GENE_031	15
GENE_032	20
GENE_033	40
GENE_034	11
GENE_035	22
GENE_036	15
GENE_037	39
GENE_038	10
GENE_039	8
GENE_040	14
GENE_041	20
GENE_042	8
GENE_043	2
GENE_044	41
GENE_045	39
GENE_046	8
GENE_047	26
GENE_048	14
GENE_049	25
GENE_050	27
GENE_051	34
GENE_052	32
GENE_053	18
GENE_054	54
GENE_055	38
GENE_056	34
GENE_057	19
GENE_058	19
GENE_059	27
GENE_060	13
GENE_061	36
GENE_062	36
GENE_063	17
GENE_064	85
GENE_065	94
GENE_066	7
GENE_067	31
GENE_068	57
GENE_069	41
GENE_070	26
GENE_071	70
GENE_072	18
GENE_073	22
GENE_074	41
GENE_075	16
GENE_076	15
GENE_077	37
GENE_078	41
GENE_079	53
GENE_080	35
GENE_081	75
GENE_082	26
GENE_083	30
GENE_084	147
GENE_085	153
GENE_086	26
GENE_087	62
GENE_088	51
GENE_089	66
GENE_090	48
GENE_091	69
GENE_092	87
GENE_093	33
GENE_094	48
GENE_095	67
GENE_096	101
GENE_097	42
GENE_098	96
GENE_099	67
GENE_100	69
GENE_101	78
GENE_102	52
GENE_103	13
GENE_104	103
GENE_105	196
GENE_106	18
GENE_107	54
GENE_108	64
GENE_109	41
GENE_110	64
GENE_111	39
GENE_112	45
GENE_113	52
GENE_114	38
GENE_115	94
GENE_116	56
GENE_117	47
GENE_118	101
GENE_119	28
GENE_120	65
GENE_121	197
GENE_122	34
GENE_123	29
GENE_124	285
GENE_125	159
GENE_126	33
GENE_127	79
GENE_128	78
GENE_129	94
GENE_130	58
GENE_131	107
GENE_132	98
GENE_133	85
GENE_134	118
GENE_135	170
GENE_136	44
GENE_137	97
GENE_138	68
GENE_139	141
GENE_140	135
GENE_141	211
GENE_142	117
GENE_143	55
GENE_144	256
GENE_145	483
GENE_146	34
GENE_147	88
GENE_148	178
GENE_149	83
GENE_150	97
GENE_151	144
GENE_152	94
GENE_153	62
GENE_154	128
GENE_155	233
GENE_156	172
GENE_157	161
GENE_158	91
GENE_159	188
GENE_160	174
GENE_161	236
GENE_162	196
GENE_163	52
GENE_164	267
GENE_165	398
GENE_166	38
GENE_167	164
GENE_168	153
GENE_169	97
GENE_170	154
GENE_171	108
GENE_172	281
GENE_173	232
GENE_174	123
GENE_175	119
GENE_176	225
GENE_177	204
GENE_178	196
GENE_179	288
GENE_180	185
GENE_181	355
GENE_182	168
GENE_183	58
GENE_184	262
GENE_185	645
GENE_186	74
GENE_187	163
GENE_188	117
GENE_189	181
GENE_190	192
GENE_191	228
GENE_192	159
GENE_193	177
GENE_194	224
GENE_195	264
GENE_196	216
GENE_197	164
GENE_198	252
GENE_199	195
GENE_200	189
GENE_201	494
GENE_202	168
GENE_203	34
GENE_204	560
GENE_205	759
GENE_206	72
GENE_207	232
GENE_208	331
GENE_209	261
GENE_210	193
GENE_211	279
GENE_212	231
GENE_213	215
GENE_214	327
GENE_215	271
GENE_216	245
GENE_217	232
GENE_218	249
GENE_219	324
GENE_220	308
GENE_221	353
GENE_222	419
GENE_223	101
GENE_224	907
GENE_225	770
GENE_226	22
GENE_227	346
GENE_228	379
GENE_229	146
GENE_230	244
GENE_231	385
GENE_232	434
GENE_233	420
GENE_234	275
GENE_235	192
GENE_236	319
GENE_237	461
GENE_238	445
GENE_239	308
GENE_240	269
GENE_241	470
GENE_242	233
GENE_243	157
GENE_244	838
GENE_245	817
GENE_246	83
GENE_247	523
GENE_248	265
GENE_249	379
GENE_250	403
GENE_251	342
GENE_252	280
GENE_253	345
GENE_254	270
GENE_255	229
GENE_256	314
GENE_257	250
GENE_258	312
GENE_259	263
GENE_260	418
GENE_261	977
GENE_262	378
GENE_263	89
GENE_264	815
GENE_265	1093
GENE_266	96
GENE_267	361
GENE_268	363
GENE_269	361
GENE_270	442
GENE_271	323
GENE_272	281
GENE_273	271
GENE_274	480
GENE_275	456
GENE_276	635
GENE_277	432
GENE_278	378
GENE_279	330
GENE_280	544
GENE_281	896
GENE_282	337
GENE_283	140
GENE_284	728
GENE_285	1152
GENE_286	159
GENE_287	769
GENE_288	335
GENE_289	508
GENE_290	527
GENE_291	528
GENE_292	348
GENE_293	651
GENE_294	657
GENE_295	344
GENE_296	579
GENE_297	621
GENE_298	558
GENE_299	332
GENE_300	515
GENE_301	1040
GENE_302	638
GENE_303	161
GENE_304	875
GENE_305	1672
GENE_306	119
GENE_307	303
GENE_308	694
GENE_309	573
GENE_310	602
GENE_311	768
GENE_312	428
GENE_313	429
GENE_314	570
GENE_315	444
GENE_316	538
GENE_317	491
GENE_318	344
GENE_319	642
GENE_320	392
GENE_321	1214
GENE_322	791
GENE_323	126
GENE_324	1833
GENE_325	1736
GENE_326	153
GENE_327	1015
GENE_328	538
GENE_329	1074
GENE_330	607
GENE_331	1058
GENE_332	344
GENE_333	469
GENE_334	685
GENE_335	567
GENE_336	776
GENE_337	847
GENE_338	395
GENE_339	655
GENE_340	761
GENE_341	1246
GENE_342	941
GENE_343	177
GENE_344	1990
GENE_345	2605
GENE_346	288
GENE_347	854
GENE_348	622
GENE_349	756
GENE_350	949
GENE_351	681
GENE_352	600
GENE_353	1197
GENE_354	918
GENE_355	812
GENE_356	611
GENE_357	1114
GENE_358	754
GENE_359	792
GENE_360	570
GENE_361	1779
GENE_362	1019
GENE_363	182
GENE_364	2561
GENE_365	3354
GENE_366	363
GENE_367	928
GENE_368	705
GENE_369	1143
GENE_370	1226
GENE_371	1343
GENE_372	936
GENE_373	829
GENE_374	939
GENE_375	584
GENE_376	978
GENE_377	906
GENE_378	986
GENE_379	1046
GENE_380	1234
GENE_381	1954
GENE_382	1210
GENE_383	315
GENE_384	1667
GENE_385	2899
GENE_386	346
GENE_387	895
GENE_388	1210
GENE_389	1129
GENE_390	696
GENE_391	1570
GENE_392	1133
GENE_393	882
GENE_394	789
GENE_395	1791
GENE_396	836
GENE_397	1361
GENE_398	1334
GENE_399	868
GENE_400	1423
GENE_401	2459
GENE_402	1561
GENE_403	548
GENE_404	2543
GENE_405	2789
GENE_406	377
GENE_407	1254
GENE_408	888
GENE_409	1081
GENE_410	1143
GENE_411	1962
GENE_412	1155
GENE_413	1610
GENE_414	928
GENE_415	1406
GENE_416	1469
GENE_417	1297
GENE_418	1370
GENE_419	1857
GENE_420	542
GENE_421	2892
GENE_422	1592
GENE_423	473
GENE_424	3371
GENE_425	4156
GENE_426	544
GENE_427	2000
GENE_428	1936
GENE_429	1849
GENE_430	1935
GENE_431	1938
GENE_432	1935
GENE_433	2265
GENE_434	1804
GENE_435	1398
GENE_436	2291
GENE_437	1455
GENE_438	1941
GENE_439	2264
GENE_440	2069
GENE_441	3452
GENE_442	1921
GENE_443	873
GENE_444	5212
GENE_445	6218
GENE_446	569
GENE_447	2571
GENE_448	1826
GENE_449	2343
GENE_450	1885
GENE_451	2148
GENE_452	2203
GENE_453	2507
GENE_454	1632
GENE_455	2007
GENE_456	1981
GENE_457	1966
GENE_458	3773
GENE_459	2893
GENE_460	3024
GENE_461	3255
GENE_462	2569
GENE_463	1224
GENE_464	5319
GENE_465	7578
GENE_466	886
GENE_467	4142
GENE_468	3414
GENE_469	4115
GENE_470	2691
GENE_471	2801
GENE_472	4119
GENE_473	3590
GENE_474	4248
GENE_475	4552
GENE_476	3820
GENE_477	3651
GENE_478	4741
GENE_479	4777
GENE_480	5237
GENE_481	7567
GENE_482	4683
GENE_483	1427
GENE_484	10690
GENE_485	16169
GENE_486	1330
GENE_487	6472
GENE_488	8614
GENE_489	6619
GENE_490	9714
GENE_491	5917
GENE_492	5831
GENE_493	10050
GENE_494	8967
GENE_495	8353
GENE_496	8655
GENE_497	17440
GENE_498	19008
GENE_499	24134
GENE_500	34626
